"","id","idgroup","sessionid","subject","period","condition","type","grouptype","contribution_id","roundprofit_id","sum_contribution_g","avg_contribution_g","avg_contr_g_others","strategic_ability","bin_strategic_ability","group_ability_cont","group_ability_cat","group_ability_bin","group_subjectid"
"53",158,"53","160324_1558",14,1,"RAND","Freerider","grouptype_is_mixed",10,22,20,6.66666666666667,5,12.1129601613717,0,35.6709811172746,"LOW","LOW_STRAT",3
"54",85,"31","160323_1155",13,1,"PREF","Others","Others",8,31.8,33,11,12.5,55.3535353535353,1,48.8552188552189,"MEDIUM","HIGH_STRAT",1
"55",148,"50","160324_1558",4,1,"RAND","CondCoop","grouptype_is_mixed",20,24,40,13.3333333333333,10,39.3444276348966,0,44.0376533871239,"MEDIUM","HIGH_STRAT",2
"56",6,"8","160321_1143",6,1,"STRAT","Freerider","grouptype_is_mixed",4,39.4,39,13,17.5,20.0788954635109,0,25.2991452991453,"LOW","LOW_STRAT",3
"57",183,"61","160329_1355",15,1,"RAND","CondCoop","grouptype_is_mixed",20,24,40,13.3333333333333,10,60.6726825266612,1,48.8171846990551,"MEDIUM","HIGH_STRAT",1
"58",121,"42","160323_1557",1,1,"PREF","Freerider","Freerider",20,18,30,10,5,77.0561705617056,1,53.9702063687304,"HIGH","HIGH_STRAT",2
"59",104,"35","160323_1352",8,1,"PREF","Freerider","Freerider",0,21.2,2,0.666666666666667,1,55.4475933423302,1,35.6125356125356,"LOW","LOW_STRAT",1
"60",181,"61","160329_1355",13,1,"RAND","Freerider","grouptype_is_mixed",0,44,40,13.3333333333333,20,55.1946039558837,1,48.8171846990551,"MEDIUM","HIGH_STRAT",2
"61",100,"35","160323_1352",4,1,"PREF","Freerider","Freerider",2,19.2,2,0.666666666666667,0,27.719298245614,0,35.6125356125356,"LOW","LOW_STRAT",2
"62",108,"35","160323_1352",12,1,"PREF","Freerider","Freerider",0,21.2,2,0.666666666666667,1,23.6707152496626,0,35.6125356125356,"LOW","LOW_STRAT",3
"63",80,"25","160323_1155",8,1,"PREF","Freerider","Freerider",1,19.6,1,0.333333333333333,0,30.3030303030303,0,33.4343434343434,"LOW","LOW_STRAT",2
"64",30,"11","160321_1405",6,1,"STRAT","UncondCoop","grouptype_is_mixed",2,28.2,17,5.66666666666667,7.5,55.1939736346516,1,48.9642184557439,"HIGH","HIGH_STRAT",3
"65",60,"22","160321_1553",12,1,"STRAT","Freerider","grouptype_is_mixed",0,32,20,6.66666666666667,10,25.4082998661312,0,30.2275769745649,"LOW","LOW_STRAT",2
"66",88,"32","160323_1155",16,1,"PREF","UncondCoop","grouptype_is_mixed",20,30,50,16.6666666666667,15,43.3333333333333,0,56.3299663299663,"HIGH","HIGH_STRAT",2
"67",15,"7","160321_1143",15,1,"STRAT","CondCoop","grouptype_is_mixed",0,38.6,31,10.3333333333333,15.5,32.3734385272847,0,33.5218058294981,"LOW","LOW_STRAT",2
"68",107,"39","160323_1352",11,1,"PREF","Others","Others",5,30.6,26,8.66666666666667,10.5,53.9901034637877,1,55.1896836107362,"HIGH","HIGH_STRAT",2
"69",79,"31","160323_1155",7,1,"PREF","Others","Others",10,29.8,33,11,11.5,23.2323232323232,0,48.8552188552189,"MEDIUM","HIGH_STRAT",2
"70",39,"14","160321_1405",15,1,"STRAT","CondCoop","grouptype_is_mixed",10,20.2,17,5.66666666666667,3.5,34.8173258003767,0,35.1964846202134,"LOW","LOW_STRAT",1
"71",119,"33","160323_1352",23,1,"PREF","Freerider","Freerider",0,26,10,3.33333333333333,5,6.66666666666667,0,26.6276803118908,"LOW","LOW_STRAT",1
"72",47,"14","160321_1405",23,1,"STRAT","Freerider","grouptype_is_mixed",5,25.2,17,5.66666666666667,6,31.5630885122411,0,35.1964846202134,"LOW","LOW_STRAT",2
"73",120,"33","160323_1352",24,1,"PREF","Freerider","Freerider",0,26,10,3.33333333333333,5,47.9262258209627,1,26.6276803118908,"LOW","LOW_STRAT",2
"74",122,"43","160323_1557",2,1,"PREF","Freerider","Freerider",5,18.6,6,2,0.5,35.8917589175892,0,23.0750307503075,"LOW","LOW_STRAT",2
"75",150,"50","160324_1558",6,1,"RAND","CondCoop","grouptype_is_mixed",20,24,40,13.3333333333333,10,54.5234493192133,1,44.0376533871239,"MEDIUM","HIGH_STRAT",3
"76",168,"56","160324_1558",24,1,"RAND","CondCoop","grouptype_is_mixed",20,22.8,38,12.6666666666667,9,72.5836275004202,1,56.0150165293887,"HIGH","HIGH_STRAT",1
