"","id","type","condition","condition_contr_table","preferred_contribution","avg_group_contr"
"395","2","UncondCoop","STRAT","cond3",200,20
"396","11","CondCoop","STRAT","cond3",0,20
"397","174","Freerider","RAND","cond3",0,20
"398","23","CondCoop","STRAT","cond3",9,20
"399","116","CondCoop","PREF","cond3",50,20
"400","138","Freerider","PREF","cond3",0,20
"401","157","Freerider","RAND","cond3",0,20
"402","38","Others","STRAT","cond3",40,20
"403","44","CondCoop","STRAT","cond3",0,20
"404","142","Others","PREF","cond3",50,20
"405","8","CondCoop","STRAT","cond3",20,20
"406","87","Freerider","PREF","cond3",0,20
"407","57","CondCoop","STRAT","cond3",0,20
"408","31","Freerider","STRAT","cond3",10,20
"409","149","Freerider","RAND","cond3",0,20
"410","152","CondCoop","RAND","cond3",0,20
"411","177","Freerider","RAND","cond3",0,20
"412","162","Others","RAND","cond3",20,20
"413","37","Freerider","STRAT","cond3",0,20
"414","145","Freerider","RAND","cond3",10,20
"415","45","CondCoop","STRAT","cond3",20,20
"416","147","CondCoop","RAND","cond3",0,20
"417","35","Freerider","STRAT","cond3",0,20
"418","105","Others","PREF","cond3",180,20
"419","185","CondCoop","RAND","cond3",90,20
"420","40","Freerider","STRAT","cond3",0,20
"421","163","CondCoop","RAND","cond3",20,20
"422","68","CondCoop","STRAT","cond3",10,20
"423","10","CondCoop","STRAT","cond3",20,20
"424","63","Others","STRAT","cond3",20,20
"425","160","Freerider","RAND","cond3",0,20
"426","97","CondCoop","PREF","cond3",10,20
"427","114","Others","PREF","cond3",30,20
"428","176","Others","RAND","cond3",30,20
"429","9","UncondCoop","STRAT","cond3",100,20
"430","50","CondCoop","STRAT","cond3",25,20
"431","111","Others","PREF","cond3",150,20
"432","91","Freerider","PREF","cond3",0,20
"433","67","Freerider","STRAT","cond3",0,20
"434","151","Others","RAND","cond3",200,20
"435","58","Others","STRAT","cond3",30,20
"436","22","Others","STRAT","cond3",61,20
"437","158","Freerider","RAND","cond3",0,20
"438","85","Others","PREF","cond3",10,20
"439","148","CondCoop","RAND","cond3",20,20
"440","6","Freerider","STRAT","cond3",30,20
"441","183","CondCoop","RAND","cond3",1,20
"442","121","Freerider","PREF","cond3",0,20
"443","104","Freerider","PREF","cond3",0,20
"444","181","Freerider","RAND","cond3",0,20
"445","100","Freerider","PREF","cond3",10,20
"446","108","Freerider","PREF","cond3",0,20
"447","80","Freerider","PREF","cond3",0,20
"448","30","UncondCoop","STRAT","cond3",20,20
"449","60","Freerider","STRAT","cond3",0,20
"450","88","UncondCoop","PREF","cond3",200,20
"451","15","CondCoop","STRAT","cond3",0,20
"452","107","Others","PREF","cond3",10,20
"453","79","Others","PREF","cond3",20,20
"454","39","CondCoop","STRAT","cond3",2,20
"455","119","Freerider","PREF","cond3",0,20
"456","47","Freerider","STRAT","cond3",0,20
"457","120","Freerider","PREF","cond3",0,20
"458","122","Freerider","PREF","cond3",0,20
"459","150","CondCoop","RAND","cond3",150,20
"460","168","CondCoop","RAND","cond3",20,20
"461","55","Freerider","STRAT","cond3",0,20
"462","112","Freerider","PREF","cond3",0,20
"463","182","CondCoop","RAND","cond3",20,20
"464","65","Others","STRAT","cond3",0,20
"465","24","CondCoop","STRAT","cond3",15,20
"466","134","Others","PREF","cond3",0,20
"467","144","Freerider","PREF","cond3",0,20
"468","143","Others","PREF","cond3",10,20
"469","25","Others","STRAT","cond3",20,20
"470","153","CondCoop","RAND","cond3",0,20
"471","165","Freerider","RAND","cond3",0,20
"472","129","Freerider","PREF","cond3",0,20
"473","161","CondCoop","RAND","cond3",0,20
"474","113","Others","PREF","cond3",20,20
"475","146","Others","RAND","cond3",20,20
"476","89","Freerider","PREF","cond3",0,20
"477","20","CondCoop","STRAT","cond3",0,20
"478","43","CondCoop","STRAT","cond3",0,20
"479","175","Others","RAND","cond3",200,20
"480","167","Others","RAND","cond3",10,20
"481","166","CondCoop","RAND","cond3",0,20
"482","184","Freerider","RAND","cond3",0,20
"483","95","Others","PREF","cond3",20,20
"484","14","Freerider","STRAT","cond3",0,20
"485","164","Others","RAND","cond3",10,20
"486","54","Others","STRAT","cond3",0,20
"487","186","CondCoop","RAND","cond3",0,20
"488","18","Freerider","STRAT","cond3",0,20
